,Table Name: cost_center,,,,,,,,,,,,,
,Column Name,Data Type,Length,Nullable,Remarks,Sample Data,,,,,,,,
PK,id,int,,no,identity,1,2,3,,,,,,
,code,varchar,50,no,open entry,ASM,MFG-ASM01,MFG-ASM02,,,,,,
,name,varchar,100,no,additional information,Assembly Line,Manufacturing Assembly 1,Manufacturing Assembly 1,,,,,,
,sequence_code,varchar,100,yes,"used to easily identify parent-child;  
pattern: {parent sequence}/id
should not be seen in the screen",1,1/2,1/3,,,,,,
FK,parent_id,int,,yes,FK: cost_center.id,null,1,1,,,,,,
FK,manager_user_id,int,,yes,FK; user.id,1,2,3,,,,,,
,valid_from,timestamptz,,yes,,1/1/2000,1/1/2000,1/1/2000,,,,,,
,valid_to,timestamptz,,yes,,1/1/2999,1/1/2999,1/1/2999,,,,,,
,status,char,1,no,"default: Active (A), Cancelled (C), Hold (H)",Active,Active,Active,,,,,,
FK,created_by,INT,,no,FK: user.id,1,1,1,,,,,,
FK,updated_by,INT,,no,FK: user.id,1,1,1,,,,,,
,created_at,timestamptz,,no,date and time,11/19/2025,11/19/2025,11/19/2025,,,,,,
,updated_at,timestamptz,,no,,11/19/2025,11/19/2025,11/19/2025,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,SAMPLE DATA HEIRARCHY,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,1 - ASM (1),,,,
,,,,,,,,,,,,,,
,,,,,,,,2 - MFG-ASM01 (1/2),,,,3 - MFG-ASM02 (1/3),,
,,,,,,,,,,,,,,
,,,,,,4 - ASM PROC 1 (1/2/4),,,,,,,,7 - ASM 2 PROC 1 (1/3/7)
,,,,,,,,,,,,,,
,,,,,,5 - ASM PROC 2 (1/2/5),,,,,,,,8 - ASM 2 PROC 2 (1/3/8)
,,,,,,,,,,,,,,
,,,,,,6 - ASM PROC 3 (1/2/6),,,,,,,,
