,Table Name: uom,,,,,,
,Column Name,Data Type,Length,Nullable,Remarks,Sample Data,
PK,id,int,,no,identity,1,2
,code,char,15,no,,mt,kg
,description,varchar,25,no,,metric ton,kilogram
,type,"enum(int,decimal)",,no,default: int,int,
,status,"enum(Active, Cancelled, Hold)",,no,default: Active,Active,Active
FK,created_by,INT,,no,FK: user.id,1,1
FK,updated_by,INT,,no,FK: user.id,1,1
,created_at,timestamptz,,no,date and time,11/19/2025,11/19/2025
,updated_at,timestamptz,,no,date and time,11/19/2025,11/19/2025
,,,,,,,
,,,,,,,
,,,,,,,
,NOTE: Do not prioritize creating a screen for this master,,,,,,
